食品,エネルギー(kcal),たんぱく質(g),脂質(g),飽和脂肪酸(g),一価不飽和脂肪酸(g),多価不飽和脂肪酸(g),コレステロール(mg),炭水化物(g),食物繊維総量(g),マグネシウム(mg),鉄(mg),亜鉛(mg),セレン(μg),β-カロテン(μg),レチノール活性当量(μg),ビタミンD(μg),ビタミンE(mg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),ビタミンC(mg),アルコール(g),カフェイン(g),n-3系多価不飽和脂肪酸(g),n-6系多価不飽和脂肪酸(g),水分(g),食塩相当量(g),ナトリウム(mg),カリウム(mg),カルシウム(mg),リン(mg),ビタミンK(μg),銅(mg),ヨウ素(μg)
ビール(ビン小),133.6,1.002,0,0,0,0,0,10.354,0,23.38,0,0,0,0,0,0,0,0,0.0668,2.672,0.167,0.334,23.38,0,12.358,0,0,0,309.952,0,10.02,113.56,10.02,50.1,0,0,3.34
ビール(カン大),200,1.5,0,0,0,0,0,15.5,0,35,0,0,0,0,0,0,0,0,0.1,4,0.25,0.5,35,0,18.5,0,0,0,464,0,15,170,15,75,0,0,5
ビール(カン中),140,1.05,0,0,0,0,0,10.85,0,24.5,0,0,0,0,0,0,0,0,0.07,2.8,0.175,0.35,24.5,0,12.95,0,0,0,324.8,0,10.5,119,10.5,52.5,0,0,3.5
ビール(カン小),100,0.75,0,0,0,0,0,7.75,0,17.5,0,0,0,0,0,0,0,0,0.05,2,0.125,0.25,17.5,0,9.25,0,0,0,232,0,7.5,85,7.5,37.5,0,0,2.5
ビール(ジョッキ・グラス大),200,1.5,0,0,0,0,0,15.5,0,35,0,0,0,0,0,0,0,0,0.1,4,0.25,0.5,35,0,18.5,0,0,0,464,0,15,170,15,75,0,0,5
ビール(ジョッキ・グラス中),128,0.96,0,0,0,0,0,9.92,0,22.4,0,0,0,0,0,0,0,0,0.064,2.56,0.16,0.32,22.4,0,11.84,0,0,0,296.96,0,9.6,108.8,9.6,48,0,0,3.2
ビール(ジョッキ・グラス小),72,0.54,0,0,0,0,0,5.58,0,12.6,0,0,0,0,0,0,0,0,0.036,1.44,0.09,0.18,12.6,0,6.66,0,0,0,167.04,0,5.4,61.2,5.4,27,0,0,1.8
ウイスキー,71.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.02,0,0,0,19.98,0,0.6,0.3,0,0,0,0.003,0
ワイン・カクテル,73,0.2,0,0,0,0,0,1.5,0,9,0.4,0,0,0,0,0,0,0,0.01,0.1,0.03,0,0,0,9.3,0,0,0,88.7,0,2,110,7,13,0,0.02,0
麦ご飯,-18.48,-0.126,0.084,0.0168,-0.0042,0.0504,0,-3.612,1.134,1.26,0.126,-0.084,-0.42,0,0,0,0,0,-0.0042,0.252,0.0042,0,0,0,0,0,0.0042,0.0462,3.612,0,-0.42,3.78,1.26,5.04,0,-0.0084,0
玄米,-4.2,0.42,0.98,0.182,0.35,0.35,0,-2.1,-0.14,58.8,0.7,0.28,0,0,0,0,0.7,0.196,0.014,3.78,0.266,0,9.8,0,0,0,0.014,0.336,0,0,0,92.4,5.6,134.4,0,0.028,0
